player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Anastasia-Faerlina,12/26/20,21:11:11,1609053071-0,[Masterwork Pauldrons of Defense],10274,item:10274::::::1616:1675013248:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Mail,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:12:50,1609053170-1,[Fierce Mauler of the Gorilla],15266,item:15266::::::975:785766016:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Two-Handed Maces,Two-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:18:11,1609053491-2,[Blasthorn Bow of Marksmanship],15288,item:15288::::::1712:619117312:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Bows,Ranged,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:19:34,1609053574-3,[Adventurer's Legguards of the Bear],10262,item:10262::::::1233:189383040:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Leather,Legs,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:22:40,1609053760-4,[Imbued Shield],15943,item:15943::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Shields,Off Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:23:56,1609053836-5,[Solstice Staff of the Monkey],15278,item:15278::::::631:235530112:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Staves,Two-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:29:59,1609054199-6,[Severance],22815,item:22815::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Patchwerk,9,533,40,,,5,true,Two-Handed Axes,Two-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:36:38,1609054598-7,[The End of Dreams],22988,item:22988::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grobbulus,9,533,40,,,5,true,One-Handed Maces,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:40:35,1609054835-8,[Gluth's Missing Collar],22981,item:22981::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Gluth,9,533,40,,,5,true,Miscellaneous,Neck,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,21:47:45,1609055265-9,[Eye of Diminution],23001,item:23001::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Thaddius,9,533,40,,,5,true,Miscellaneous,Trinket,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:05:46,1609056346-10,[Noth's Frigid Heart],23029,item:23029::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Noth the Plaguebringer,9,533,40,,,5,true,Miscellaneous,Held In Off-hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:12:42,1609056762-11,[Icebane Helmet],23019,item:23019::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Heigan the Unclean,9,533,40,,,5,true,Plate,Head,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:22:35,1609057355-12,[Wristguards of Vengeance],22936,item:22936::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Plate,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:40:41,1609058441-13,[The Widow's Embrace],22942,item:22942::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grand Widow Faerlina,9,533,40,,,5,true,One-Handed Maces,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:43:02,1609058582-14,[Imbued Shield],15943,item:15943::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grand Widow Faerlina,9,533,40,,,5,true,Shields,Off Hand,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:55:39,1609059339-15,[Pendant of Forgotten Names],22947,item:22947::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Miscellaneous,Neck,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,22:59:54,1609059594-16,[Ghoul Skin Tunic],23226,item:23226::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Leather,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,23:03:46,1609059826-17,[Traveler's Jerkin],8296,item:8296::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Leather,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,23:08:11,1609060091-18,[Master's Cloak of the Owl],10249,item:10249::::::779:622061824:60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Cloth,Back,,Anastasia-Faerlina
Anastasia-Faerlina,12/26/20,23:33:20,1609061600-19,[Wand of the Whispering Dead],23009,item:23009::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Instructor Razuvious,9,533,40,,,5,true,Wands,,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:14:12,1609571652-0,[Mercurial Breastplate of Intellect],10157,item:10157::::::396:1039531904:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Mail,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:14:27,1609571667-1,[Ring of the Eternal Flame],23237,item:23237::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Miscellaneous,Finger,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:24:08,1609572248-2,[The Plague Bearer],22818,item:22818::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Patchwerk,9,533,40,,,5,true,Shields,Off Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:32:53,1609572773-3,[Midnight Haze],22803,item:22803::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grobbulus,9,533,40,,,5,true,Daggers,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:36:07,1609572967-4,[Digested Hand of Power],22994,item:22994::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Gluth,9,533,40,,,5,true,Miscellaneous,Held In Off-hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:43:33,1609573413-5,[Plated Abomination Ribcage],23000,item:23000::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Thaddius,9,533,40,,,5,true,Plate,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:45:54,1609573554-6,[Mercurial Bracers of the Wolf],10156,item:10156::::::524:735378432:60,Holding,nil,MAGE,Naxxramas-40 Player,Thaddius,9,533,40,,,5,true,Mail,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:47:14,1609573634-7,[Fierce Mauler of Strength],15266,item:15266::::::320:519541248:60,Holding,nil,MAGE,Naxxramas-40 Player,Thaddius,9,533,40,,,5,true,Two-Handed Maces,Two-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,21:55:59,1609574159-8,[Cloak of the Scourge],23030,item:23030::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Noth the Plaguebringer,9,533,40,,,5,true,Cloth,Back,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:01:53,1609574513-9,[Preceptor's Hat],23035,item:23035::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Heigan the Unclean,9,533,40,,,5,true,Cloth,Head,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:12:46,1609575166-10,[Band of Unnatural Forces],23038,item:23038::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Loatheb,9,533,40,,,5,true,Miscellaneous,Finger,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:22:08,1609575728-11,[Touch of Frost],22935,item:22935::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Miscellaneous,Neck,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:29:17,1609576157-12,[Lunar Wand of Intellect],15283,item:15283::::::175:800533120:60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Wands,,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:30:22,1609576222-13,[Commander's Pauldrons of the Bear],10383,item:10383::::::1217:2089092992:60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Plate,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:35:58,1609576558-14,[Icebane Pauldrons],22940,item:22940::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grand Widow Faerlina,9,533,40,,,5,true,Plate,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:37:47,1609576667-15,[Master's Mantle of Shadow Wrath],10253,item:10253::::::1857:2022467328:60,Holding,nil,MAGE,Naxxramas-40 Player,Grand Widow Faerlina,9,533,40,,,5,true,Cloth,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:43:11,1609576991-16,[Ghoul Skin Tunic],23226,item:23226::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grand Widow Faerlina,9,533,40,,,5,true,Leather,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,22:58:25,1609577905-17,[Kiss of the Spider],22954,item:22954::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Miscellaneous,Trinket,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:02:41,1609578161-18,[Hyperion Vambraces of the Bear],10391,item:10391::::::1204:1858084352:60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Plate,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:09:38,1609578578-19,[Blasthorn Bow of Marksmanship],15288,item:15288::::::1711:7582336:60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Bows,Ranged,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:14:28,1609578868-20,[Engraved Breastplate of the Monkey],10230,item:10230::::::632:2058822016:60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Mail,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:14:44,1609578884-21,[Mercurial Girdle of the Whale],10154,item:10154::::::1046:246307840:60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Mail,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:15:49,1609578949-22,[Master's Leggings of the Owl],10252,item:10252::::::808:475072512:60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Cloth,Legs,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:28:34,1609579714-23,[Wand of the Whispering Dead],23009,item:23009::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Instructor Razuvious,9,533,40,,,5,true,Wands,,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:33:24,1609580004-24,[Mighty Tunic of the Eagle],10151,item:10151::::::892:2013222784:60,Holding,nil,MAGE,Naxxramas-40 Player,Instructor Razuvious,9,533,40,,,5,true,Leather,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/01/21,23:48:34,1609580914-25,[Harbinger of Doom],23044,item:23044::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Gothik the Harvester,9,533,40,,,5,true,Daggers,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/02/21,00:22:25,1609582945-26,[Leggings of Apocalypse],23071,item:23071::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,The Four Horsemen,9,533,40,,,5,true,Leather,Legs,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:02:18,1610780538-0,[Mercurial Legguards of the Owl],10162,item:10162::::::805:1248026496:60,Holding,nil,MAGE,Naxxramas-40 Player,Unknown,9,533,40,,,5,true,Mail,Legs,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:17:37,1610781457-1,[Wand of Fates],22820,item:22820::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Patchwerk,9,533,40,,,5,true,Wands,,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:24:27,1610781867-2,[Toxin Injector],22810,item:22810::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grobbulus,9,533,40,,,5,true,Guns,,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:27:12,1610782032-3,[Death's Bargain],23075,item:23075::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Gluth,9,533,40,,,5,true,Shields,Off Hand,,Anastasia-Faerlina
